Round,mean,std,min,max,lower_bound,upper_bound
0,0.5036432889580253,0.03155113935617718,0.45414818299220033,0.5494497778909295,0.4418030558199181,0.5654835220961326
1,0.502204693188776,0.04590582456479827,0.43361097781147573,0.5716057213093291,0.4122292770417714,0.5921801093357806
2,0.5062319685748884,0.04933168453828112,0.43117550331653337,0.5579767275042019,0.4095418668798574,0.6029220702699194
3,0.5013942220142648,0.04808801574561555,0.43763642343544934,0.5714363086153598,0.40714171115285824,0.5956467328756713
4,0.49270948227128725,0.05764207879134032,0.4170540737390889,0.5705046268709992,0.3797310078402602,0.6056879567023142
5,0.4924901629703976,0.07826712759189491,0.387956841694862,0.5962343933780493,0.3390865928902836,0.6458937330505117
6,0.4926880589286668,0.09618249969607127,0.3642791514678739,0.6079543715762133,0.3041703595243671,0.6812057583329665
7,0.4936990069036108,0.11661944141703134,0.35125753662245024,0.6264632095274937,0.2651249017262294,0.7222731120809922
8,0.49661045319600045,0.1398905178496523,0.33708921413510856,0.6445951670445565,0.22242503821068194,0.770795868181319
9,0.4984967968984006,0.1609970413245598,0.3215407288127421,0.6692016286195508,0.18294259590226336,0.8140509978945378
10,0.4945539349919197,0.18135853854142284,0.2985976917599817,0.6902567399521546,0.13909119945073095,0.8500166705331085
11,0.4917093107193843,0.20174613231606808,0.27829171298535427,0.7166453444934531,0.09628689137989083,0.8871317300588777
12,0.48923749284268414,0.22387090894621192,0.25085106505530125,0.7362866979298252,0.05045051130810879,0.9280244743772594
13,0.4918555304131035,0.24455678895996283,0.23167895357767052,0.7536085696163443,0.012524224051576327,0.9711868367746306
14,0.48784662346790314,0.2661398730525111,0.20407040184109831,0.7647857345042411,0.0,1.0
15,0.4877495910587495,0.28796532042874506,0.18423718518684012,0.7825536635118305,0.0,1.0
16,0.4905090430242244,0.31041185527534637,0.1707757191428449,0.8081541603196288,0.0,1.0
17,0.49061013448291374,0.3309037040403458,0.15111736649122287,0.828676120633184,0.0,1.0
18,0.4916259236789168,0.3518634572705713,0.13182164032666008,0.8513821992462483,0.0,1.0
19,0.4915687988645689,0.3714913197385772,0.10495371181212562,0.8681093486890048,0.0,1.0
